SR NO,STK,PICTURE,CODE,DETAILS,PRICE,LAB,CERTIFICATE ID.,check,PRODUCT LINK,image1 link,image2 link,image3 link,image4 link,image5 link,image6 link,image7 link,image8 link,video link,multiple side image link,multiple video link,multiple model photo link,multiple model video link,PRODUCT DESCRIPTION,LUXURY WEBSITE DESCRIPTION,SEO TITLE,META DESCRIPTION,INSTAGRAM CAPTION,FACEBOOK CAPTION,PINTEREST DESCRIPTION,X (TWITTER) POST,WHATSAPP SALES MESSAGE,PRODUCT HIGHLIGHTS,CARE INSTRUCTIONS,FAQ,ALT TEXT FOR IMAGES,HASHTAGS,Focus Keyword,SEO URL Slug,Canonical Keyword,Search Intent,Google Shopping Title,Google Shopping Description,Pinterest Description,X Twitter Post,LinkedIn Post,TikTok Caption,Reel Hook,YouTube Shorts Caption,Email Subject,Email Preview Text,CTA Button Text,AI Photoshoot Prompt,AI Banner Prompt,AI Video Prompt,Product Tags,Collection,Occasion,Gift For,Style,Diamond Colour Family,Metal Colour,Price Category,Luxury Selling Points,Burmese Description,Thai Description,Filipino Description,GIA Information,Worldwide Shipping Text,Return Policy Summary,Warranty Summary,Packaging Description,Status,Last Updated,Product Description,Long Description,SEO Title,Meta Description,Facebook Caption,Email Marketing,Short Description,Instagram Caption,WhatsApp Template,Highlights,Care Instructions,Alt Text,Hashtags
#REF! (Array result was not expanded because it would overwrite data in  V2.),,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/665_142/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/center.jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,https://colourdiam.com/Product/Jewellery/Model%20images/298/video.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,https://colourdiam.com/Product/Jewellery/Model%20images/414/video.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/415/415.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/415/415_1.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/415/415_2.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/416/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/416/video.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/731/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/98553059-DFE7-4799-B5B0-3D8E6179BD02.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/B18CA9D3-3972-499B-AEB5-390DACF2D7BF.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/731/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/731/731.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1135/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1135/1135.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1135/1135_1.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,https://colourdiam.com/Product/Jewellery/Model%20images/1263/video.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1328/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1328/1328.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1333_6674/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1333_6674/1333_6674.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1481/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/2E928398-3341-4441-BA7D-66FCE5C5C04E.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/7C2A590F-A895-4C54-A082-F6FE5EFA46D6.jpeg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1850/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1850/1850.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1873/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1873/1873.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/UN-0638_1.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
