Stock ID,Model Photo Links,Model Video Links,FTP Folder,Photo Count,Video Count
6321_3607,"https://colourdiam.com/Product/Jewellery/Model%20images/6321_3607/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6321_3607/WhatsApp%20Image%202025-10-04%20at%2015.56.03_bb4e4f15.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/6321_3607/video.mp4,6321_3607,2,1
3763,,https://colourdiam.com/Product/Jewellery/Model%20images/3763/video.mp4,3763,0,1
3793,,https://colourdiam.com/Product/Jewellery/Model%20images/3793/video.mp4,3793,0,1
3967,,"https://colourdiam.com/Product/Jewellery/Model%20images/3967/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/3967/3967.mp4",3967,0,2
4059,,"https://colourdiam.com/Product/Jewellery/Model%20images/4059/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4059/4059.mp4",4059,0,2
4085_4456_4800_5452_5554_5558_5592_5594_5598,"https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/3.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/WhatsApp%20Image%202025-10-03%20at%2017.58.17_b7d057ba.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/WhatsApp%20Image%202025-10-01%20at%2023.52.56_34dea980.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/WhatsApp%20Image%202025-10-01%20at%2023.52.56_ea65936a.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/4085_4456_4800_5452_5554_5558_5592_5594_5598.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4085_4456_4800_5452_5554_5558_5592_5594_5598/4085_4456_4800_5452_5554_5558_5592_5594_5598_1.mp4",4085_4456_4800_5452_5554_5558_5592_5594_5598,7,3
4262,https://colourdiam.com/Product/Jewellery/Model%20images/4262/center.jpeg,,4262,1,0
4282_4283,"https://colourdiam.com/Product/Jewellery/Model%20images/4282_4283/pic.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4282_4283/8708244-20240720-143255.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/4282_4283/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4282_4283/4282_4283.mp4",4282_4283,2,2
4286,"https://colourdiam.com/Product/Jewellery/Model%20images/4286/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/Untitled%20Project%20-%202025-12-19T163251.145.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/4286.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/1186643-20230202-120813.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/1657692-20230202-120813.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/2158459-20230202-120813.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4286/4857219-20230202-120814.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/4286/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4286/4286.mp4",4286,7,2
4377,https://colourdiam.com/Product/Jewellery/Model%20images/4377/center.jpeg,"https://colourdiam.com/Product/Jewellery/Model%20images/4377/4377.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4377/video1.mp4",4377,1,2
4401_4402_4406_4409_4410_4422_4423_4354_4417,https://colourdiam.com/Product/Jewellery/Model%20images/4401_4402_4406_4409_4410_4422_4423_4354_4417/center.jpeg,"https://colourdiam.com/Product/Jewellery/Model%20images/4401_4402_4406_4409_4410_4422_4423_4354_4417/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4401_4402_4406_4409_4410_4422_4423_4354_4417/4401.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4401_4402_4406_4409_4410_4422_4423_4354_4417/4401_4402.mp4",4401_4402_4406_4409_4410_4422_4423_4354_4417,1,3
4403,,"https://colourdiam.com/Product/Jewellery/Model%20images/4403/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4403/4403.mp4",4403,0,2
3400_4462,"https://colourdiam.com/Product/Jewellery/Model%20images/3400_4462/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/3400_4462/PHOTO-2021-10-01-13-57-18%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/3400_4462/PHOTO-2021-10-01-13-57-19.jpeg",,3400_4462,3,0
4509,,https://colourdiam.com/Product/Jewellery/Model%20images/4509/video.mp4,4509,0,1
4510,,https://colourdiam.com/Product/Jewellery/Model%20images/4510/video.mp4,4510,0,1
4643,,"https://colourdiam.com/Product/Jewellery/Model%20images/4643/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4643/4643.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4643/4643_1.mp4",4643,0,3
4874_4676,"https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/949A5E47-3DA1-45AC-B2F9-FDCA7C8E15A4.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/FE467A35-CCFF-4C8D-AD4C-A81527B772DD.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/3192162-20220331-173224.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/6953092-20220331-173238.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/7453859-20220331-173238.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/7110344-20220331-173239.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/4874_4676/model%20Video.mp4,4874_4676,7,1
4774,,"https://colourdiam.com/Product/Jewellery/Model%20images/4774/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/4774/4774.mp4",4774,0,2
4849,https://colourdiam.com/Product/Jewellery/Model%20images/4849/center.jpeg,,4849,1,0
5052,"https://colourdiam.com/Product/Jewellery/Model%20images/5052/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5052/1062819-20220331-165419.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5052/6392242-20220331-165419.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/5052/7364058-20220331-165419.jpeg",,5052,4,0
